case,u_inf_m_s,lambda,cylinder_x_over_c,cylinder_z_over_c,omega_rad_s,rpm,inner_iter,rms_rho,cd,cd_abs,cl,c_downforce,c_downforce_over_cd,c_downforce_over_abs_cd,cmx,cmy,cmz,cd_wing,cd_cylinder,cd_ground,cl_wing,cl_cylinder,cl_ground,cmy_wing,cmy_cylinder,cmy_ground,cylinder_moment_y_nm,motor_power_w_eta_0p8,equivalent_drag_n_abs,eta_net_abs_drag,force_drift_window_rows,cd_drift_last_window,cd_drift_pct_last_window,cl_drift_last_window,cl_drift_pct_last_window,c_downforce_drift_last_window,c_downforce_drift_pct_last_window,dry_run_log,solver_log
inv6412_wing_cylinder_rotating_U30_lam1p0,30.0,1.0,0.08000000,0.10000000,1500.00000000,14323.94487827,49,-3.18263256,2.301437617,2.301437617,-1.297132242,1.297132242,0.5636182499,0.5636182499,2.81543026,23.96607961,0.004601129495,1.06213533,1.239306247,-3.959045511e-06,2.475805604,0.3503875192,-4.123325365,0.9940549202,0.2711184697,22.70090622,16.14025785,30262.98347,1465.464333,0.1756463425,50,1.167468846,1.029542326,-1.276180271,-60.90979462,1.276180271,60.90979462,cases_rans\inv6412_wing_cylinder_rotating_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_U30_lam2p0,30.0,2.0,0.08000000,0.10000000,3000.00000000,28647.88975654,49,-3.183493823,1.945343627,1.945343627,-1.431168751,1.431168751,0.7356894335,0.7356894335,2.82362927,23.94205303,0.009132887839,0.9669667398,0.9783808442,-3.956567003e-06,2.263842747,0.3769292342,-4.071940733,0.9497140523,0.2561281014,22.73621088,15.24784941,57179.4353,2292.015958,0.1239091327,50,0.814008784,0.719511813,-1.418765825,-114.3896083,1.418765825,114.3896083,cases_rans\inv6412_wing_cylinder_rotating_U30_lam2p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_U30_lam2p0\su2.log
inv6412_wing_cylinder_rotating_U30_lamneg1p0,30.0,-1.0,0.08000000,0.10000000,-1500.00000000,-14323.94487827,49,-3.182382633,3.041373848,3.041373848,-1.083555282,1.083555282,0.356271651,0.356271651,2.804593649,24.00799952,-0.005093298935,1.259052345,1.782325463,-3.959950121e-06,2.817897658,0.2481211649,-4.149574105,1.041351758,0.282558012,22.68408975,16.82127808,-31539.8964,1654.861344,0.1299330315,50,1.930490027,1.73779651,-1.04486586,-27.00649963,1.04486586,27.00649963,cases_rans\inv6412_wing_cylinder_rotating_U30_lamneg1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_U30_lamneg1p0\su2.log
inv6412_wing_cylinder_rotating_U30_lamneg2p0,30.0,-2.0,0.08000000,0.10000000,-3000.00000000,-28647.88975654,49,-3.18305183,3.421937916,3.421937916,-1.001701501,1.001701501,0.292729303,0.292729303,2.80242617,24.02760445,-0.01023994254,1.360060859,2.061881015,-3.958248802e-06,2.946681497,0.1736897274,-4.122072725,1.044199257,0.2792951258,22.70411007,16.62703154,-62351.36827,2757.429696,0.07208816746,50,2.335930379,2.150933856,-0.953956133,-19.98007707,0.953956133,19.98007707,cases_rans\inv6412_wing_cylinder_rotating_U30_lamneg2p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_U30_lamneg2p0\su2.log
inv6412_wing_cylinder_rotating_x0p000_z0p100_U30_lam1p0,30.0,1.0,0.00000000,0.10000000,1500.00000000,14323.94487827,49,-3.177243013,2.184434386,2.184434386,-2.386788222,2.386788222,1.092634431,1.092634431,3.586515921,23.14268506,0.01631197537,0.9902158093,1.194222573,-3.99572633e-06,2.873713986,0.4826581295,-5.743160338,1.340062344,0.3607653411,21.44185737,21.47712635,40269.6119,1775.800446,0.2667164701,50,1.059136872,0.9412060889,-2.360139237,-88.56394361,2.360139237,88.56394361,cases_rans\inv6412_wing_cylinder_rotating_x0p000_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p000_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p010_z0p100_U30_lam1p0,30.0,1.0,0.01000000,0.10000000,1500.00000000,14323.94487827,49,-3.180065918,2.181820102,2.181820102,-2.172098195,2.172098195,0.9955441299,0.9955441299,3.50812596,23.52208887,0.02477719983,1.006403367,1.175420715,-3.980722773e-06,2.789914618,0.4674774405,-5.429490254,1.295995218,0.3466651938,21.87942845,20.63771466,38695.71498,1722.818435,0.2501900614,50,1.054127068,0.9347641922,-2.151179211,-102.8338265,2.151179211,102.8338265,cases_rans\inv6412_wing_cylinder_rotating_x0p010_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p010_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p020_z0p080_U30_lam1p0,30.0,1.0,0.02000000,0.08000000,1500.00000000,14323.94487827,49,-3.18089966,2.170586849,2.170586849,-0.9491563224,0.9491563224,0.4372809698,0.4372809698,3.603210233,29.93593533,0.06378865373,0.7762312045,1.394360263,-4.618504452e-06,3.779729699,1.209917221,-5.938803243,1.829874818,0.6343208187,27.47173969,37.76246445,70804.62084,2790.886166,0.06748787153,50,0.979593475,0.8225011964,-1.20370607,-4.728765516,1.20370607,4.728765516,cases_rans\inv6412_wing_cylinder_rotating_x0p020_z0p080_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p020_z0p080_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0,30.0,1.0,0.02000000,0.10000000,1500.00000000,14323.94487827,49,-3.178588624,2.1199557,2.1199557,-2.330210781,2.330210781,1.099178997,1.099178997,3.403446166,23.19219397,0.003191301189,0.9752294084,1.144730423,-4.131522876e-06,2.804010881,0.3782229813,-5.512444644,1.275233977,0.2960475377,21.62091246,17.62433817,33045.63407,1522.206008,0.3037748988,50,0.995812941,0.8858420632,-2.29758103,-70.41368509,2.29758103,70.41368509,cases_rans\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p020_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p020_z0p120_U30_lam1p0,30.0,1.0,0.02000000,0.12000000,1500.00000000,14323.94487827,49,-3.17878042,2.840401618,2.840401618,-1.443371634,1.443371634,0.5081575876,0.5081575876,3.107572218,23.78419829,0.04381854353,1.213616183,1.62678946,-4.024779425e-06,3.468302971,0.4503573028,-5.362031908,1.487702965,0.4114051506,21.88509017,24.49182167,45922.16563,2094.389308,0.1367574087,50,1.727170258,1.551492637,-1.416556186,-52.8261238,1.416556186,52.8261238,cases_rans\inv6412_wing_cylinder_rotating_x0p020_z0p120_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p020_z0p120_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p030_z0p100_U30_lam1p0,30.0,1.0,0.03000000,0.10000000,1500.00000000,14323.94487827,49,-3.179925378,2.13734829,2.13734829,-2.032135293,2.032135293,0.9507740514,0.9507740514,2.985081383,23.60630049,-0.001049462227,0.9922409305,1.145111321,-3.961464445e-06,2.76396438,0.3876202591,-5.183719933,1.237532346,0.2967190397,22.0720491,17.66431411,33120.58896,1528.155897,0.2638852199,50,1.011336402,0.8981578372,-1.995234507,-54.07024376,1.995234507,54.07024376,cases_rans\inv6412_wing_cylinder_rotating_x0p030_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p030_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p040_z0p100_U30_lam1p0,30.0,1.0,0.04000000,0.10000000,1500.00000000,14323.94487827,49,-3.180261583,2.157900054,2.157900054,-1.826306921,1.826306921,0.8463352682,0.8463352682,3.051350888,23.73871913,0.005246601644,0.9967236656,1.161180304,-3.915591622e-06,2.779497604,0.3637586995,-4.969563224,1.186126589,0.2834791841,22.26911335,16.87611741,31642.72014,1482.971903,0.2443829772,50,1.019927577,0.8962673506,-1.784885067,-43.09041924,1.784885067,43.09041924,cases_rans\inv6412_wing_cylinder_rotating_x0p040_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p040_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p050_z0p100_U30_lam1p0,30.0,1.0,0.05000000,0.10000000,1500.00000000,14323.94487827,49,-3.182003994,2.158815353,2.158815353,-1.686932938,1.686932938,0.7814160371,0.7814160371,2.664955831,23.98792759,0.03338129705,1.00176387,1.157055399,-3.91650555e-06,2.788117516,0.3077941708,-4.782844624,1.17115053,0.2542316794,22.56254538,15.13495139,28378.03385,1374.330659,0.2435772328,50,1.022405613,0.8996804383,-1.647714896,-42.01420599,1.647714896,42.01420599,cases_rans\inv6412_wing_cylinder_rotating_x0p050_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p050_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p120_z0p100_U30_lam1p0,30.0,1.0,0.12000000,0.10000000,1500.00000000,14323.94487827,49,-3.192984644,2.447809146,2.447809146,-1.00194693,1.00194693,0.4093239588,0.4093239588,3.080585621,24.22257961,0.006789889029,1.075831895,1.371980809,-3.558441778e-06,2.116163908,0.2854099763,-3.403520814,0.7276137607,0.2456979903,23.24926786,14.62692277,27425.48019,1399.926916,0.1420265261,50,1.308041825,1.147639348,-0.9790625001,-42.78290987,0.9790625001,42.78290987,cases_rans\inv6412_wing_cylinder_rotating_x0p120_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p120_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_rotating_x0p160_z0p100_U30_lam1p0,30.0,1.0,0.16000000,0.10000000,1500.00000000,14323.94487827,49,-3.199354437,2.701194534,2.701194534,-1.094504624,1.094504624,0.4051928176,0.4051928176,3.204330761,24.29152455,-0.02220223433,1.040121035,1.661076961,-3.461185333e-06,1.434301271,0.2973955346,-2.82620143,0.3502569754,0.2672302499,23.67403733,15.90878387,29828.96976,1530.325135,0.1419266652,50,1.569431531,1.386713938,-1.079555278,-72.21421509,1.079555278,72.21421509,cases_rans\inv6412_wing_cylinder_rotating_x0p160_z0p100_U30_lam1p0\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_rotating_x0p160_z0p100_U30_lam1p0\su2.log
inv6412_wing_cylinder_static_U30,30.0,0.0,0.08000000,0.10000000,0.00000000,0.00000000,49,-3.182241147,2.667334428,2.667334428,-1.182074215,1.182074215,0.443166857,0.443166857,2.808933253,23.98743843,-0.000136147194,1.159569639,1.50776875,-3.96021861e-06,2.660791352,0.3071612319,-4.150026799,1.024621917,0.2798548536,22.68296166,16.66035332,0,529.3069298,0.443166857,50,1.537741574,1.361323745,-1.152323971,-38.73326085,1.152323971,38.73326085,cases_rans\inv6412_wing_cylinder_static_U30\su2_dryrun.log,cases_rans\inv6412_wing_cylinder_static_U30\su2.log
inv6412_wing_only_U30,30.0,none,none,none,none,none,49,-3.19961434,0.6482628141,0.6482628141,-3.80121768,3.80121768,5.863698484,5.863698484,6.042369656,27.96140715,-0.007571374596,0.6482670363,,-4.222190089e-06,-0.4275196586,,-3.373698022,0.3170598231,,27.64434732,,,,,50,0.4013783768,1.625774314,-3.716764766,-44.00990542,3.716764766,44.00990542,cases_rans\inv6412_wing_only_U30\su2_dryrun.log,cases_rans\inv6412_wing_only_U30\su2.log
